source	target	weight
4.0	5.0	1
4.0	6.0	1
4.0	13.0	1
4.0	15.0	1
4.0	16.0	1
4.0	17.0	1
4.0	18.0	1
4.0	19.0	1
4.0	21.0	1
4.0	22.0	1
4.0	23.0	1
4.0	24.0	1
4.0	25.0	1
4.0	28.0	1
4.0	29.0	1
4.0	30.0	1
4.0	31.0	1
4.0	32.0	1
4.0	33.0	1
4.0	35.0	1
4.0	36.0	1
4.0	37.0	1
4.0	38.0	1
4.0	39.0	1
4.0	40.0	1
4.0	41.0	1
4.0	42.0	1
4.0	44.0	1
4.0	50.0	2
4.0	96.0	1
4.0	142.0	1
4.0	188.0	1
4.0	234.0	1
4.0	280.0	1
4.0	326.0	1
4.0	372.0	1
4.0	414.0	1
4.0	425.0	2
4.0	426.0	2
5.0	6.0	1
5.0	13.0	1
5.0	15.0	1
5.0	16.0	1
5.0	17.0	1
5.0	18.0	1
5.0	19.0	1
5.0	21.0	1
5.0	22.0	1
5.0	23.0	1
5.0	24.0	1
5.0	25.0	1
5.0	28.0	2
5.0	29.0	2
5.0	30.0	2
5.0	31.0	2
5.0	32.0	2
5.0	33.0	2
5.0	35.0	2
5.0	36.0	2
5.0	37.0	1
5.0	38.0	2
5.0	39.0	2
5.0	40.0	1
5.0	41.0	1
5.0	42.0	1
5.0	44.0	1
5.0	51.0	1
5.0	97.0	1
5.0	143.0	2
5.0	189.0	2
5.0	235.0	1
5.0	281.0	2
5.0	327.0	2
5.0	373.0	1
5.0	414.0	1
5.0	426.0	1
5.0	427.0	2
6.0	13.0	1
6.0	15.0	2
6.0	16.0	2
6.0	17.0	1
6.0	18.0	2
6.0	19.0	2
6.0	21.0	2
6.0	22.0	2
6.0	23.0	2
6.0	24.0	2
6.0	25.0	2
6.0	28.0	2
6.0	29.0	1
6.0	30.0	2
6.0	31.0	2
6.0	32.0	2
6.0	33.0	2
6.0	35.0	2
6.0	36.0	2
6.0	37.0	2
6.0	38.0	2
6.0	39.0	2
6.0	40.0	2
6.0	41.0	1
6.0	42.0	2
6.0	44.0	2
6.0	52.0	1
6.0	98.0	2
6.0	144.0	1
6.0	190.0	1
6.0	236.0	1
6.0	282.0	1
6.0	328.0	1
6.0	374.0	2
6.0	414.0	2
6.0	427.0	1
6.0	428.0	1
13.0	15.0	1
13.0	16.0	1
13.0	17.0	1
13.0	18.0	1
13.0	19.0	1
13.0	21.0	1
13.0	22.0	1
13.0	23.0	1
13.0	24.0	1
13.0	25.0	1
13.0	28.0	1
13.0	29.0	1
13.0	30.0	2
13.0	31.0	2
13.0	32.0	2
13.0	33.0	2
13.0	35.0	2
13.0	36.0	2
13.0	37.0	2
13.0	38.0	1
13.0	39.0	1
13.0	40.0	2
13.0	41.0	2
13.0	42.0	1
13.0	44.0	1
13.0	59.0	1
13.0	105.0	1
13.0	151.0	1
13.0	197.0	1
13.0	243.0	1
13.0	289.0	2
13.0	335.0	1
13.0	381.0	1
13.0	414.0	1
13.0	434.0	1
13.0	435.0	1
15.0	16.0	2
15.0	17.0	2
15.0	18.0	2
15.0	19.0	2
15.0	21.0	1
15.0	22.0	1
15.0	23.0	2
15.0	24.0	2
15.0	25.0	1
15.0	28.0	1
15.0	29.0	1
15.0	30.0	1
15.0	31.0	1
15.0	32.0	1
15.0	33.0	1
