,source,target,weight
0,p1,h1,-4928.160824174709
1,p1,h2,-4928.160824174709
2,p1,h3,-4928.160824174709
3,p1,h4,-3472.034819483855
4,p1,h5,-249.7894826727562
5,p1,h6,-3472.034819483855
6,p1,h7,-3472.034819483855
7,p1,h8,-4928.160824174709
8,p1,h9,-4928.160824174709
9,p1,h10,-4928.160824174709
10,p1,h11,-4928.160824174709
11,p1,h12,-4928.160824174709
12,p1,h13,-249.7894826727562
13,p1,h14,-249.7894826727562
14,p1,h15,5306.070926770218
15,p1,h16,-3574.041219675049
16,p1,h17,509.2095830223013
17,p1,h18,509.2095830223013
18,p1,h19,-3374.03821326744
19,p1,h20,-3374.03821326744
20,p1,h21,12.085720790131177
21,p1,h22,-3374.03821326744
22,p1,h23,12.085720790131177
23,p1,h24,509.2095830223013
24,p1,h25,4572.963898002948
25,p1,h26,12.085720790131177
26,p1,h27,1603.3285261623269
27,p1,h28,-249.7894826727562
28,p1,h29,-3125.0557532813564
29,p1,h30,-249.7894826727562
30,p1,h31,-249.7894826727562
31,p1,h32,-249.7894826727562
32,p1,h33,-249.7894826727562
33,p1,h34,12.085720790131177
34,p1,h35,-3574.041219675049
35,p1,h36,-3561.0391389172382
36,p1,h37,509.2095830223013
37,p1,h38,-1624.0069160717171
38,p1,h39,1603.3285261623269
39,p1,h40,-249.7894826727562
40,p1,h41,-249.7894826727562
41,p1,h42,-249.7894826727562
42,p1,h43,-249.7894826727562
43,p1,h44,-249.7894826727562
44,p1,h45,-4928.160824174709
45,p1,h46,-4928.160824174709
46,p2,h1,-4928.160824174709
47,p2,h2,-4928.160824174709
48,p2,h3,-4928.160824174709
49,p2,h4,-3101.121357248316
50,p2,h5,-326.9842220938993
51,p2,h6,-3101.121357248316
52,p2,h7,-3101.121357248316
53,p2,h8,-4928.160824174709
54,p2,h9,-4928.160824174709
55,p2,h10,-4928.160824174709
56,p2,h11,-4928.160824174709
57,p2,h12,-4928.160824174709
58,p2,h13,-326.9842220938993
59,p2,h14,-326.9842220938993
60,p2,h15,-3044.149027607444
61,p2,h16,5306.070926770218
62,p2,h17,312.9857464026403
63,p2,h18,312.9857464026403
64,p2,h19,-2128.054891830867
65,p2,h20,-2128.054891830867
66,p2,h21,1243.862978636898
67,p2,h22,-2128.054891830867
68,p2,h23,1243.862978636898
69,p2,h24,312.9857464026403
70,p2,h25,-926.9820571344
71,p2,h26,1243.862978636898
72,p2,h27,1778.0511615024
73,p2,h28,-326.9842220938993
74,p2,h29,3641.831645130229
75,p2,h30,-326.9842220938993
76,p2,h31,-326.9842220938993
77,p2,h32,-326.9842220938993
78,p2,h33,-326.9842220938993
79,p2,h34,1243.862978636898
80,p2,h35,5306.070926770218
81,p2,h36,-3407.085092850839
82,p2,h37,312.9857464026403
83,p2,h38,-1832.1067490756143
84,p2,h39,1778.0511615024
85,p2,h40,-326.9842220938993
86,p2,h41,-326.9842220938993
87,p2,h42,-326.9842220938993
88,p2,h43,-326.9842220938993
89,p2,h44,-326.9842220938993
90,p2,h45,-4928.160824174709
91,p2,h46,-4928.160824174709
92,p3,h1,-4928.160824174709
93,p3,h2,-4928.160824174709
94,p3,h3,-4928.160824174709
95,p3,h4,-3655.1414240436143
96,p3,h5,-2486.8763747695884
97,p3,h6,-3655.1414240436143
98,p3,h7,-3655.1414240436143
99,p3,h8,-4928.160824174709
100,p3,h9,-4928.160824174709
101,p3,h10,-4928.160824174709
102,p3,h11,-4928.160824174709
103,p3,h12,-4928.160824174709
104,p3,h13,-2486.8763747695884
105,p3,h14,-2486.8763747695884
106,p3,h15,-2128.054891830867
107,p3,h16,-3374.03821326744
108,p3,h17,-1712.9194710576444
109,p3,h18,-1712.9194710576444
110,p3,h19,-3704.131999317415
111,p3,h20,-3704.131999317415
112,p3,h21,-1856.9647387223913
113,p3,h22,-3704.131999317415
114,p3,h23,-1856.9647387223913
