PDB_ID,Affinity_pK
5urm,5.275724130399211
5uah,3.4001169279263124
5ual,3.580044251510242
5uac,
5swg,4.481486060122113
5uk8,6.3979400086720375
5itd,6.581698708680254
5ul1,6.638272163982407
5ukj,7.161150909262744
5dxu,8.397940008672037
5vlr,8.522878745280337
5ubt,8.619788758288394
5dxh,9.0
6g6w,9.698970004336019
5dxt,9.698970004336019
4xwk,4.634512015109101
6en4,8.301029995663981
5v3o,7.221848749616356
6q6y,6.0
4v0i,6.329754146925876
6ftn,6.700057099977233
5l72,6.801342913045577
6q73,6.8996294548824375
5t27,7.102372908709558
6dgt,7.376750709602099
6ez6,7.400007822415902
5ngb,7.721246399047171
5o83,7.958607314841775
5t2g,8.102372908709558
5t2l,8.200659450546418
6q74,8.200659450546418
5t2b,8.301029995663981
5t28,8.494850021680094
5t2i,8.698970004336019
5t2d,9.100179497572904
5ncz,9.096910013008056
5t2m,9.200659450546418
5ncy,9.397940008672037
3i3b,2.2291479883578558
3muz,3.4559319556497243
3vd4,4.823908740944319
5ylv,6.823908740944319
5ylu,8.619788758288394
5ncq,6.958607314841775
4ycm,7.721246399047171
4ycn,7.769551078621726
5a3r,7.777283528852417
5a3q,8.602059991327963
5a3s,8.67778070526608
5t23,5.795880017344075
5jha,5.898252926053634
5jhb,6.0589857562944305
6aud,6.2247537402597635
5g2n,7.026872146400302
5oq4,7.6020599913279625
6c1s,8.522878745280337
5yij,3.4190750243243806
5j6s,
5k1v,5.698970004336019
5im3,
5wf7,4.006563769502388
5wfd,4.581698708680254
5wfc,4.903089986991944
5iee,4.943095148663527
5hg1,5.200659450546418
5hfu,6.886056647693163
5hex,8.0
5m7t,5.4089353929735005
5m7u,8.096910013008056
5m7s,9.045757490560675
5ieg,5.7447274948966935
4zw5,4.431798275933005
4zw7,4.721246399047171
4zx6,5.267606240177032
4zw6,5.721246399047171
4zw8,5.958607314841775
6eed,6.090443970758825
6eaa,6.087246696328677
4r5t,6.096910013008056
4zx5,6.1938200260161125
6eab,6.3655227298392685
6ea2,6.54515513999149
