PDB_ID,Affinity_pK
11gs,5.823908740944319
13gs,4.619788758288394
16pk,5.221848749616356
184l,4.721246399047171
185l,3.537602002101044
186l,4.853871964321762
187l,3.374687549038326
188l,3.3279021420642825
1a07,6.3979400086720375
1a0t,1.3010299956639813
1a28,8.292429823902063
1a2c,6.301029995663981
1a42,9.886056647693163
1a4g,8.397940008672037
1a4h,5.920818753952375
1a4k,8.0
1a4m,
1a4q,5.443697499232713
1a4r,6.657577319177793
1a4w,5.920818753952375
1a50,6.698970004336019
1a52,9.860120913598763
1a5g,10.148741651280925
1a5h,6.301029995663981
1a5v,3.0969100130080562
1a61,8.619788758288394
1a69,5.301029995663981
1a7t,1.6382721639824072
1a7x,9.698970004336019
1a85,4.522878745280337
1a86,3.9956786262173574
1a8i,5.522878745280337
1a8t,5.795880017344075
1a99,5.698970004336019
1a9m,6.924453038607469
1a9u,7.318758762624412
1aaq,8.397940008672037
1abf,5.42021640338319
1abt,5.853871964321762
1acj,8.086186147616283
1add,6.7447274948966935
1ado,6.0
1af6,1.8239087409443189
1afk,6.619788758288394
1ag9,9.0
1agm,
1agw,4.698970004336019
1ai4,2.5044556624535517
1ai5,3.7235381958267557
1ai6,3.9706162223147903
1ai7,4.086186147616283
1aj7,3.869666231504994
1ajn,2.6345120151091
1ajp,2.2328441339178196
1ajq,4.309803919971486
1ajv,7.718966632752273
1ajx,7.913640169325252
1al7,7.795880017344075
1al8,5.318758762624412
1alw,6.522878745280337
1amw,4.5376020021010435
1ao0,4.958607314841775
1ao8,8.221848749616356
1apb,5.82102305270683
1apv,9.0
1apw,8.0
1aq1,8.154901959985743
1aq7,6.045757490560675
1aqc,5.341035157335565
1aqi,5.619788758288394
1aqj,6.468521082957745
1at5,4.1938200260161125
1at6,4.070581074285707
1atr,6.958607314841775
1avd,
1aw1,1.0506099933550872
1awi,4.045757490560675
1ax0,3.1272611725273314
1ax1,3.288192770958809
1ax2,3.987162775294828
1axr,3.2676062401770314
1axs,7.769551078621726
1axz,3.1958605676646497
1ayu,9.154901959985743
1ayv,8.0
1aze,4.221848749616356
1azg,4.795880017344075
1azm,6.096910013008056
1azx,9.397940008672037
1b05,7.1249387366083
1b0f,7.698970004336019
1b0h,6.698970004336019
1b11,7.3872161432802645
1b2h,4.5376020021010435
1b2i,5.508638306165727
1b38,6.595166283380062
1b39,6.920818753952375
1b3f,6.886056647693163
1b3h,6.2076083105017466
1b3l,5.886056647693163
1b40,7.275724130399211
1b46,5.2839966563652006
1b4d,4.806875401645538
1b4h,5.46344155742847
1b4z,5.229147988357856
1b51,7.366531544420414
1b52,7.119186407719209
1b55,7.3979400086720375
1b58,6.585026652029182
1b5g,8.0
1b5h,6.013228265733755
1b5i,7.045757490560675
1b5j,7.431798275933005
1b6j,7.920818753952375
1b6l,8.301029995663981
1b6m,8.397940008672037
1b6p,8.522878745280337
1b74,1.3010299956639813
1b7h,8.022276394711152
1b8n,
1b8o,
1b8y,7.853871964321762
1b9j,5.958607314841775
1b9s,
1b9t,5.096910013008056
1b9v,3.6497519816658373
1bap,6.853871964321762
1bbz,5.823908740944319
1bcd,8.698970004336019
1bcj,3.6989700043360187
1bdl,5.85078088734462
1bdq,6.337242168318426
1bdr,6.6777807052660805
1bhf,4.376750709602099
1bhx,6.838631997765025
1bil,9.301029995663981
1bim,8.920818753952375
1biw,6.982966660701219
1bji,8.698970004336019
1bjr,7.6777807052660805
1bju,4.795880017344075
1bjv,5.537602002101044
1bkj,6.769551078621726
1bkm,5.7447274948966935
1bl4,8.744727494896694
1bl6,6.795880017344075
1bl7,7.721246399047171
1bm6,7.886056647693163
1bma,4.585026652029182
1bmk,7.6020599913279625
1bmm,7.102372908709558
1bmn,8.443697499232712
1bn1,9.337242168318426
1bn3,9.886056647693163
1bnm,10.0
1bnt,9.795880017344075
1bnu,9.698970004336019
1bnv,8.769551078621726
1bnw,9.080921907623926
1bo5,3.6020599913279625
1bp0,5.3979400086720375
1bq3,5.3979400086720375
1bq4,5.221848749616356
1bqm,7.346787486224656
1bqo,7.735182176990463
1br5,
1br6,3.2218487496163566
1br8,4.7447274948966935
1bra,1.8239087409443189
1bsk,4.119186407719209
1bt6,5.698970004336019
1btn,4.3979400086720375
1bug,4.366531544420414
1bux,4.853871964321762
1bv7,10.301029995663981
1bv9,9.958607314841775
1bwa,8.602059991327963
1bwb,8.42021640338319
1bwn,7.060480747381382
1bxl,6.468521082957745
1bxo,10.0
1bxq,7.376750709602099
1bzf,8.301029995663981
1bzh,6.769551078621726
1bzj,4.657577319177793
