index	source	target	weight
4	p1	h5	0.52435182
5	p1	h6	0.52435182
6	p1	h7	0.61156025
13	p1	h14	0.52435182
15	p1	h16	0.44253173
16	p1	h17	0.61973258
17	p1	h18	0.616362
18	p1	h19	0.58355199
19	p1	h20	0.61156025
21	p1	h22	0.44253173
22	p1	h23	0.58355199
23	p1	h24	0.58355199
24	p1	h25	0.61156025
25	p1	h26	0.61156025
28	p1	h29	0.52435182
29	p1	h30	0.61973258
30	p1	h31	0.52435182
31	p1	h32	0.45939123
32	p1	h33	0.52435182
33	p1	h34	0.61156025
35	p1	h36	0.54440127
36	p1	h37	0.65790049
37	p1	h38	0.65790049
38	p1	h39	0.58286157
39	p1	h40	0.45939123
40	p1	h41	0.52435182
41	p1	h42	0.6399278
42	p1	h43	0.616362
44	p1	h45	0.52435182
49	p2	h4	0.64424876
50	p2	h5	0.53853136
51	p2	h6	0.53853136
52	p2	h7	0.58441928
58	p2	h13	0.44253173
59	p2	h14	0.53853136
60	p2	h15	0.41272165
62	p2	h17	0.62484431
63	p2	h18	0.57471631
64	p2	h19	0.5654205
65	p2	h20	0.58441928
68	p2	h23	0.5654205
69	p2	h24	0.5654205
70	p2	h25	0.58441928
71	p2	h26	0.58441928
74	p2	h29	0.53853136
75	p2	h30	0.62484431
76	p2	h31	0.53853136
77	p2	h32	0.64956684
78	p2	h33	0.53853136
79	p2	h34	0.58441928
80	p2	h35	0.44253173
81	p2	h36	0.56558073
82	p2	h37	0.64596117
83	p2	h38	0.64596117
84	p2	h39	0.59670203
85	p2	h40	0.64956684
86	p2	h41	0.53853136
87	p2	h42	0.64261399
88	p2	h43	0.57471631
89	p2	h44	0.41272165
90	p2	h45	0.53853136
95	p3	h4	0.51422007
96	p3	h5	0.45086747
97	p3	h6	0.45086747
98	p3	h7	0.52866965
104	p3	h13	0.63381745
105	p3	h14	0.45086747
106	p3	h15	0.55084946
107	p3	h16	0.51100262
108	p3	h17	0.54353752
109	p3	h18	0.52713564
110	p3	h19	0.52598126
111	p3	h20	0.52866965
113	p3	h22	0.51100262
114	p3	h23	0.52598126
115	p3	h24	0.52598126
116	p3	h25	0.52866965
117	p3	h26	0.52866965
120	p3	h29	0.45086747
121	p3	h30	0.54353752
122	p3	h31	0.45086747
123	p3	h32	0.48061146
124	p3	h33	0.45086747
125	p3	h34	0.52866965
126	p3	h35	0.63381745
127	p3	h36	0.44850462
128	p3	h37	0.54199409
129	p3	h38	0.54199409
130	p3	h39	0.57128088
131	p3	h40	0.48061146
132	p3	h41	0.45086747
133	p3	h42	0.52928313
134	p3	h43	0.52713564
135	p3	h44	0.55084946
136	p3	h45	0.45086747
141	p4	h4	0.42075861
142	p4	h5	0.46398044
143	p4	h6	0.46398044
144	p4	h7	0.55652391
150	p4	h13	0.65790049
151	p4	h14	0.46398044
152	p4	h15	0.59580881
153	p4	h16	0.64596117
154	p4	h17	0.36415286
155	p4	h18	0.58754996
156	p4	h19	0.63026526
157	p4	h20	0.55652391
159	p4	h22	0.64596117
160	p4	h23	0.63026526
161	p4	h24	0.63026526
162	p4	h25	0.55652391
163	p4	h26	0.55652391
166	p4	h29	0.46398044
167	p4	h30	0.36415286
168	p4	h31	0.46398044
170	p4	h33	0.46398044
171	p4	h34	0.55652391
172	p4	h35	0.65790049
173	p4	h36	0.43786861
174	p4	h37	0.36327849
175	p4	h38	0.36327849
176	p4	h39	0.59142746
178	p4	h41	0.46398044
179	p4	h42	0.38387305
180	p4	h43	0.58754996
